name,description
Cleanrot Gauntlets,"Gauntlets of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all."
Champion Bracers,"Bracers reserved for the bandlands' bravest.  Proof that the wearer has slaughtered countless foes.  Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment. "
Depraved Perfumer Gloves,Gloves worn by depraved perfumers.
Champion Gauntlets,"Gauntlets reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment."
Elden Lord Bracers,"Bracers of Godfrey the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded."
Eccentric's Manchettes,"The knight Jerren's manchettes. Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath."
Drake Knight Gauntlets,"Black iron gauntlets worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe"
Crucible Gauntlets,"Gauntlets of the Crucible Knights who served Godfrey, the first Elden Lord. Hold the power of the crucible of life, the primordial form of the Erdtree. Strengthen Aspects of the Crucible incantations. In time, the strength shown by these knights, and even their appearance, was seen as chaotic and deserving of scorn. "
Errant Sorcerer Manchettes,Commonplace leather manchettes. Their hands are inlaid with dulled glintstone.
Fire Monk Gauntlets,Black iron gauntlets featuring a flame motif. Attire of the Fire Monks.
Godrick Knight Gauntlets,Gauntlets worn by knights loyal to Godrick the Grafted. Time has yet to dull their luster.
Gelmir Knight Gauntlets,Gauntlets worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster. 
Foot Soldier Gauntlets,Metal gauntlets covered in nicks and dents. Widely issued to foot soldiers in a lord's army.
Exile Gauntlets,Damaged iron gauntlets. Worn by soldiers sent to the penal colonies.
Fingerprint Gauntlets,"Iron gauntlets singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?"
Godrick Soldier Gauntlets,Gauntlets worn by soldiers loyal to Godrick the Grafted. Rust-worn and stained through unending conflict.
Fire Prelate Gauntlets,"Black iron gauntlets with the appearance of flames. Attire of the Fire Prelates, commanders of the Fire Monks."
Godskin Apostle Bracelets,Black bracelets of the Godskin Apostles.
Highwayman Gauntlets,Hideously stained and dented gauntlets. Worn by former foot soldiers who have turned to banditry.
Godskin Noble Bracelets,"Black bracelets of the Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form."
Haligtree Gauntlets,Gauntlets worn by soldiers sworn to the Haligtree. Rust-worn and stained through unending conflict. 
Haligtree Knight Gauntlets,Gauntlets worn by knights sworn to the Haligtree. Time has yet to dull their luster.
Hoslow's Gauntlets,Garish silver gauntlets decorated with red embellishments. Passed down through the Hoslow family.
Kaiden Gauntlets,Gauntlets worn by Kaiden sellswords.
Iron Gauntlets,Ordinary iron gauntlets.
Gold Bracelets,Bracelets made in the image of Erdtree branches. Minimal adornments made my Lord Goldmask's disciples. Those disciples have long since left him.
Guardian Bracers,Engraved golden bracers. Worn by the guardians of the Minor Erdtree.
Golden Prosthetic,Golden prosthetic forged using ancient techniques
Knight Gauntlets,"Iron gauntlets of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation. "
Land Of Reeds Gauntlets,Gauntlets wrapped in tough leather. Worn by the warriors of the Land of Reeds
Lusat's Manchettes,"Manchettes corroded by blue glintstones. Worn by Lusat, primeval current sorcerer."
Maliketh's Gauntlets,"Beast's gauntlets made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyral half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions"
Leyndell Soldier Gauntlets,Gauntlets worn by soldiers sworn to defend the royal capital of Leyndell. Rust-worn and stained through unending conflict.
Leather Gloves,Lightweight and battle-proven leather gloves worn by a savvy soldier. Many admire the wearer of this armor for his chivalrous and forthright spirit.
Lionel's Gauntlets,Founded iron gauntlets. 
Malenia's Gauntlet,"Gauntlet made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god—he is the most fearsome Empyrean of all."""
Malformed Dragon Gauntlets,Malformed golden gauntlets.
Leyndell Knight Gauntlets,Gauntlets worn by knights sworn to defend the royal capital of Leyndell. Time has yet to dull their luster
Omen Gauntlets,Malformed Gauntlets resembling an Omen with its horns cut off.
Mushroom Arms,Mushrooms found growing all over the body. These overgrown mushroom have colonized the arms. 
Mausoleum Knight Gauntlets,Gauntlets worn by headless knights who endlessly guard the Walking Mausoleum. Time has yet to dull their luster.
Mausoleum Gauntlets,Gauntlets worn by headless soldiers who endlessly guard the Wandering Mausoleum. Rust-worn and stained through unending conflict.
Millicent's Gloves,Gloves worn by Millicent the Rotting
Nox Monk Bracelets,"Bracelets worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Noble's Gloves,"Gloves of plush leather. Worn by expatriated royalty. A gift of such rare beauty, a royal wouldn't disgrace their illustrious heritage even if found dead, in a ditch, in the middle of nowhere, while wearing such splendid raiment."
Perfumer Gloves,Gloves of an Erdtree Capital perfumer.
Night's Cavalry Gauntlets,Pitch-black gauntlets thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds.
Omenkiller Long Gloves,"Long,stiff leather gloves worn by the Omenkillers."
Preceptor's Gloves,Trousers of the magic preceptors who serve the Carian royals. Black and perfectly discreet. 
Raya Lucarian Gauntlets,Gauntlets worn by Raya Lucaria Academy soldiers. Rust-worn and stained through unending conflict. 
Ragged Gloves,Gauntlets pieced together from scavenged metal.
Radahn Soldier Gauntlets,Gauntlets worn by soldiers who fought by General Radahn's side. Rust-worn and stained through unending conflict.
Radahn's Gauntlets,Gauntlets depicting the golden lion. Worn by General Radahn. 
Royal Knight Gauntlets,"Silver gauntlets of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation."
Ronin's Gauntlets,Gauntlets of the man who calls himself Shabriri. Highly functional and heavily worn.
Queen's Bracelets,"Bracelets indicating the highest order of sorcerer. Worn by Rennala, Queen of the Full Moon. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all. "
Royal Remains Gauntlets,Gauntlets graces with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing.
Traveler's Gloves,Gloves of a traveling perfumer of no renown. 
Tree Sentinel Gauntlets,Golden gauntlets of the heavy cavalry Tree Sentinels who serve the Erdtree.
Traveler's Manchettes,Light yet sturdy leather manchettes.
Sorcerer Manchettes,Manchettes worn by Raya Lucaria's magic scholars. Made by wrapping a simple cloth around the forearms.
Twinned Gauntlets,Gauntlets depicting entwined twins of gold and silver. 
Traveling Maiden Gloves,Gloves worn by traveling maidens.
Vagabond Knight Gauntlets,"Gauntlets of a knight banished form their motherland. Dirty and battered after enduring a lengthy vagabond journey. Metal armor is heavy, but also sturdy, offering significant damage negation. "
Veteran's Gauntlets,"Old gauntlets that has seen many battles. Worn by Niall, the veteran general of Sol."
Scaled Gauntlets,"Gauntlets worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it high effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survived to this day."
Spellblade's Gloves,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills."
Vulgar Militia Gauntlets,"Gauntlets worn by lean, mean, and filthy militiamen."
Aristocrat Hat,"Leather hat decorated with a withered feather. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor."
Warrior Gauntlets,Gauntlets of a nomadic warrior. Crafted from sturdy leather.
Aristocrat Headband,Valuable headband featuring fine goldwork. 
Alberich's Pointed Hat (altered),Lighter version of the Alberich's Pointed Hat.
Alberich's Pointed Hat,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner. "
War Surgeon Gloves,"Bloodstained white gloves of the war surgeons who were effectively mercy killers. Of the surgeons that were abducted by the Lord of Blood none were able to tame the accursed blood. None but Varré, that is; though he was an exception"
Zamor Bracelets,"Bracelets worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial."
White Reed Gauntlets,"Gauntlets of the White Reeds, fashioned from banded iron plates. Worn by the Inabam head disciples of the great swordsman Okina. The Inaba traveled in pursuit of not only the master who abandoned them, but also proper deaths, won honorably through hard-fought combat. To be a White Reed is to seek death; fitting for the Inaba, who desired nothingmore than to die by the sword."
Bandit Mask,"Mask of black cloth that covers the mouth. Favored by bandits for hiding their faces, it also provides some protection against poison. "
Black Dumpling,"Mask forced on a victim's head to lend torture an extra degree of cruelty. It magnifies one's fears and make them acutely aware of all forms of pain Raises attack power when the wearer suffers from madness. When the Black Dumpling goes on, the torturer no longer seeks answers; only to inflict suffering without hope of relief."
Banished Knight Helm (altered),Lighter version of the Banished Knight Helm
Ash-of-war Scarab,Gray scarab worn directly on the head.
Astrologer Hood,"Hood fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate."
Black Hood,Hood of lusterless black fabric that conceals its wearer's identity. 
Azur's Glintstone Crown,"Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone."
Banished Knight Helm,"Thick, full set of armor covering the entire body. This helm was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights. "
Beast Champion Helm,Silver helm engraved with tiny beasts. Worn by Bernahl the Recusant.
Black Wolf Mask,A mask fashioned after the head of a black wolf.
Bloodsoaked Mask,Mask formed from tightly-wound bandages soaked through with blood. Even the most ghastly cover is more inviting than the festering face beneath.
Black Knife Hood,"Hood used by the Black Knife Assassins. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be N u men who had close ties with Marika herself."
Blue Silver Mail Hood,Chainmail hood crafted with blue silver. Worn by the wolf-riding Albinauric archers.
Bloodhound Knight Helm,"Metal helm with a pointed beak. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life. "
Blackguard's Iron Mask,"Iron mask forced on convicted prisoners. Worn by the blackguard Big Boggart. To Boggart, the mask made him all the more threatening, and helped him get what he wanted. But it was also a mirror of his emptiness."
Blue Festive Hood,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Use of this hood, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival."
Blackflame Monk Hood,Mail hood of iron links covering a headband engraved with black flames.
Blue Cloth Cowl,"Cowl of a nomadic warrior. The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer. Just as still waters turn foul, stagnation leads to decay. Warriors must remain ever-drifting.  "
Champion Headband,"Headband reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment."
Chain Coif,"Coif made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection."
Bull-goat Helm,"Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise."
Brave's Cord Circlet,"Warrior's headband of woven leather. Garb worn by warriors of the frigid uplands. The small flags, white cloths and sheaves of wheat often found hung from these headbands are prayers of farewell from the people of their home. In bidding farewell t warriors departing on a journey from which they aren't like to return, this small act offers only meager relief."
Cerulean Tear Scarab,Blue scarab worn directly on the head. These scarabs roll clumps of cerulean tears during their labors.
Cleanrot Helm,"Winged helm of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering."
Carian Knight Helm,"Helm of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family."
Briar Helm,Battered iron helm from a foreign land. Worn by Elemer of he Brair.
Brave's Leather Helm,Battlewear wrapped in thick leather. Garb worn by warriors of the frigid uplands.
Cleanrot Helm (altered),Lighter version of the Cleanrot Helm
Confessor Hood,"Black hood for blending in with the darkness. Worn by church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies. "
Commoner's Headband (altered),Lighter version of the Commoner's Headband
Confessor Hood (altered),Lighter version of the Confessor Hood
Commoner's Headband,A headband with the cloth removed. Standard wear for commoners of the Lands Between. 
Consort's Mask,"Mask worn by Tanith, Lady of the Volcano Manor, in the image of a foreign queen."
Crucible Axe Helm,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord. The axe ornamentation is the knight Ordovis's mark, displayed also by his men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations."
Crimson Hood,A hooded cloak of vivid crimson.  Worn by expatriates royalty.  Increases vigor. 
Crimson Tear Scarab,Red scarab worn directly on the head. The red scarabs roll clumps of crimson tears during their labors.
Crucible Tree Helm,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord. The great tree ornamentation is the knight Siluria's mark, displayed also by her men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations. "
Diallos's Mask,"Replica of a twin-tailed silver helm with flowery adornments. Only, without the twin tails. "
Drake Knight Helm (altered),Lighter version of the Drake Knight Helm. 
Depraved Perfumer Headscarf,Headscarf worn by depraved perfumers.
Cuckoo Knight Helm,Helm worn by Raya Lucaria Academy knights. Its brow is adorned with a single cuckoo's feather.
Duelist Helm,"Bronze helm decorated with innumerable snakes. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered."
Eccentric's Hood,"A pointy, ragged hood. Worn by the knight Jerren. The hood hides an aged, bearded mask. Jerren served General Radahn as a guest commander, and they are said to have sworn an oath of honorable death to one another."
Drake Knight Helm,"Black iron helm worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe"
Eccentric's Hood (altered),Lighter version of the Eccentric's Hood
Elden Lord Crown,"Crown of Godfrey, the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded."
Envoy Crown,"The soft bundle worn on the head by Oracle Envoys. Densely wrapped in several layers of cloth. Raises the potency of bubble-based skills. No one knows what the cloth hides, but some claim to have heard a faint whimpering from inside. It must have been their imagination."
Exile Hood,"Deep red hood that covers the whole head. Worn by soldiers sent to the penal colonies, who were required to keep their faces hidden."
Festive Hood (altered),Lighter version of the Festive Hood
Festive Hood,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Decorated with many-colored flowers."
Finger Maiden Fillet,"Fillet worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago."
Fire Monk Hood,Mail hood of iron links covering a headband engraved with flames. Attire of the Fire Monks.
Fire Prelate Helm,"Helm engraved with a sacred countenance and housing a cauldron. Attire of the Fire Prelates, commanders of the Fire Monks."
Fia's Hood,"Hood of black cloth that covers the whole head. Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home."
Fingerprint Helm,"Iron helm singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?"
Foot Soldier Cap,Flanged iron cap widely issued to foot soldiers in a lord's army.
Foot Soldier Helm,Wholly unembellished iron helm. Widely issued to foot soldiers in a lord's army.
Gilded Foot Soldier Cap,Flanged cap made from gilded iron. Issued to foot soldiers protecting the royal capital of Leyndell.
Gelmir Knight Helm,Helm worn by knights once loyal to Praetor Rykard. Its crest of red feathers symbolizes Rykard's pedigree as Lord Radagon's son.
Glintstone Scarab,Blue-green scarab worn directly on the head. These scarabs roll clumps of sorcery during their labors.
Godrick Knight Helm,Gauntlets worn by knights loyal to Godrick the Grafted.
Grass Hair Ornament,A headdress made from wildflowers. Wearing this might make you less easy to spot.
Godskin Noble Hood,"Hood made by sewing together patches of smooth skin. Subcutaneous fat makes it plump and soft. Worn by Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unilke the crucible, the Erdtree in its primordial form."
Foot Soldier Helmet,Helmet with a protective metal plate. Widely issued to foot soldiers in lord's army.
Godrick Soldier Helm,"Helm worn by soldiers loyal to Godrick the Grafted. Made from durable iron, layered with a chainmail coif beneath."
Godskin Apostle Hood,Hood made by seweing together patches of smooth skin. Worn by the Godskin Apostles.
Great Horned Headband,Headband decorated by a pair of great horns.
Greathood,"Hood far larger than the head it is meant to cover. A burial shroud of sorts for those who discover, at long last, the truth they sought."
Guilty Hood,"Coarse hooded cloak of olive brown. The garb of those accused of lesser crimes, indicated by the collar of sharpened branches."
Haima Glintstone Crown,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
Guardian Mask,Engraved golden mask. 
Greathelm,"Sturdy greathelm made from iron. Though it is uncomfortably heavy and obstructs the vision of the wearer, it provides considerable damage negation."
Haligtree Helm,Helm worn by soldiers sworn to the Haligtree. An iron helm graced by a crown of unalloyed gold. Increases faith. 
Hierodas Glintstone Crown,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and endurance to the detriment of FP. The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy. 
Haligtree Knight Helm,Helm worn by knights sworn to the Haligtree. Graced by a crown of unalloyed gold.
High Page Hood,Hood of a page selected for special privilege by the noble they serve.
Highwayman Hood,Hideously stained and ragged hood. Worn by former foot soldiers who have turned to banditry. 
Imp Head (cat),"Head covering made from the largely unaltered head of an impish golem. Resembling a cat, it holds trace amounts of feline intelligence. "
Hoslow's Helm,A twin-tailed silver helm decorated with flowery adornments. Symbol of the head of the head of the revered House of Hoslow.
Iji's Mirrorhelm,"Helm fashioned from a crystal looking-glass, said to have never left War Counselor Iji's head. Easily broken and weak against striking attacks."
Imp Head (fanged),"Head covering made from the largely unaltered head of an impish golem. Resembling a fanged demon, it holds trace amounts of bestial strength."
Imp Head (corpse),"Head covering made from the largely unaltered head of an impish golem. Resembling the visage of a corpse, it holds trace amounts of lingering faith. "
Imp Head (elder),"Head covering made from the largely unaltered head of an impish golem. Resembling an elder, it holds trace amounts of arcane knowledge."
Imp Head (long-tongued),Head covering made from the largely unaltered head of an impish golem.
Imp Head (wolf),"Head covering made from the largely unaltered head of an impish golem. Resembling a wolf, it holds trace amounts of lupine endurance."
Incantation Scarab,"Golden scarab worn directly on the head. These scarabs roll clumps of incantations during their labors. Slightly reduces the FP costs of incantations, but increases damage taken. As a scarab approaches death, it abandons its rolled treasure and stretches its wings wide for long journey to its home nest."
Iron Kasa,Iron kasa of the man who calls himself Shabriri. Crafted to imitate the woven straw hats worn in the Land of Reeds.
Iron Helmet,An iron helmet showing rust on its edges. Cloth covering the mouth and neck provides some resistance to poison and other irritants. 
Jar,"Jar that fits cleanly over the head when upturned. Made with pride by Iron Fist Alexander. In a uniquely jarlike gesture of friendship, it boosts the power of throwing pot items."
Juvenile Scholar Cap,"Cap worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion. "
Knight Helm,"Iron helm of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation."
Land Of Reeds Helm,"Helm made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said."
Kaiden Helm,"Helm worn by Kaiden sellswords. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement."
Lazuli Glintstone Crown,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
Maliketh's Helm,Beast's helm made of black iron and decorated with gold. Worn by Maliketh the Black Blade.
Lusat's Glintstone Crown,"The giant blue glintstone crown worn by Lusat, primeval current sorcerer."
Leyndell Knight Helm,Helm worn by knights sworn to defend the royal capital of Leyndell.
Lionel's Helm,Round iron helm with a distinctive large brim. Worn by Lionel the Lionhearted. 
Malenia's Winged Helm,Winged helm made of unalloyed gold.
Malformed Dragon Helm,A malformed golden helm. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. 
Marais Mask,"Mask in the image of a white-haired young noble. Customarily worn by the head of House Marais. Increases arcane. The Marais family has a dual history spanning generations, serving as both executioners and castellans of the Shaded Castle. This mask bears the likeness of the first of their line."
Marionette Soldier Helm,"Cylindrical helm of plate metal reinforced with a lattice. Worm by marionette soldiers, crafted to serve the sorcerers."
Leyndell Soldier Helm,"Helm worn by soldiers sworn to defend the royal capital of Leyndell. Made from durable iron, layered with a chainmail coif beneath."
Marionette Soldier Helm,"Cylindrical helm of plate metal reinforced with a lattice. Worn by marionette soldiers, crafted to serve the sorcerers."
Marionette Soldier Birdhelm,Metal helm formed in the likeness of the face of a bird. 
Night Maiden Twin Crown,"Twin crowns worn by the nightmaidens of the Eternal City. Indicates the highest clerical rank, and hides the eyes with silk. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Mushroom Head,Mushrooms found growing all over the body. These overgrown mushroom have colonized the head. 
Night's Cavalry Helm,Pitch-black helm with flowing black hair. Worn by the Night's Cavalry who ride funeral steeds.
Mask Of Confidence,"Mask with the mouth sewn shut with gold thread. Increases arcane. When Radagon married Rennala, he ordered the Carian magic preceptors to don these masks. To make it clear that all of their matters were to be kept strictly private. "
Navy Hood,"A hooded cloak of deep navy. Worn by expatriated royalty. Increases mind. Such cloaks were gifted to those who departed on missions to faraway lands, from which they would never return. But what choice did they have, having seen the guidance of grace?"
Night's Cavalry Helm (altered),Lighter version of the Night's Cavalry Helm.
Mushroom Crown,"Mushrooms found growing all over the body. These overgrown mushrooms form a towering headpiece. Raises attack power when something nearby suffers from poison or rot. Long ago, great lords served the scarlet rot. Perhaps such fungal bodies served as their crowns."
Nomadic Merchant's Chapeau,Chapeau of the nomadic merchants.
Nox Mirrorhelm,"Helm fashioned from a crystal looking-glass. One among the Eternal City's ritual implements. Easily broken and weak against striking attacks. Worn by those committed to high treason, it wards off the intervention of the Greater Will and its vassal Fingers."
Nox Monk Hood,"Silk hood worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Old Aristocrat Cowl,"Cowl made of soft cloth. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life."
Nox Swordstress Crown,"Crown worn by the swordstresses of the Eternal City. These women are the personal guards of the nightmaidens, and the silk hides their eyes. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Okina Mask,A wooden mask that depicts an old man bearing his teeth. The source of the sobriquet of the great swordman of the Land of Reeds. Raises dexterity as it lowers focus.
Nox Swordstress Crown (altered),Lighter version of the Nox Swordstress Crown.
Nox Monk Hood (altered),Lighter version of the Nox Monk Hood.
Octopus Head,A land octopus whelp worn directly on the head. Has a lingering warmth reminiscent of human skin. Those who can withstand the smell will find its organic elasticity excellent for negating strikes.
Omen Helm,Malformed helm resembling an Omen with its horns cut off.
Olivinus Glintstone Crown,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of HP. The lineage of the Olivinus Conspectus began with the sorcerer Lusat, and its adherents continue his study of meteors."
Perfumer Hood,Hood of an Erdtree Capital perfumer.
Omensmirk Mask,"Mask with long, hideously twisted horns worn by the Omenkillers. Increases strength. Bears the smirking face of an elder, twisted in wicked delight. This visage is carved in the image of the evil spirits that haunt the Omen in their nightmares."
Preceptor's Big Hat,Large hat with the movements of the stars drawn on the inside of the brim. Worn by the magic preceptors who served the Carian royals.
Prisoner Iron Mask,"Iron mask forced on a prisoner convicted of an appalling crime. Thick, heavy, and utterly stifling. A foul creation designed to torment the wearer, either slowly fermenting hatred within their heart, or a spiritual fervor that is near indistinguishable from it. "
Queen's Crescent Crown,"A tall crown depicting the moon. Worn by Rennala, Queen of the Full Moon. Increases intelligence. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all."
Radahn Soldier Helm,Helm worn by soldiers who fought by General Radahn's side. Its visor is fashioned after a lion's fangs.
Page Hood,Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way. The unassuming sack-like appearance befits their unseen and unknown stature.
Prophet Blindfold,"Blindfold of exiled prophets who foretold misfortune — and were persecuted and driven from their homes as a result. Why hesitate, if the path leading to the future is clear? Just close your eyes, and walk. "
Pumpkin Helm,"An oval helmet large enough to cover any head. Very heavy and very hard. Reduces damage from headshots and impacts. The inside of the helm is pitch black, keeping the crazed warrior within from panicking. Perhaps its rather roomy interior also helps alleviate feelings of pressure and claustrophobia."
Radahn's Redmane Helm,"Helm of the golden lion, with flowing red hair. Worn by General Radahn."
Ragged Hat (altered),Lighter version of the Ragged Hat.
Radiant Gold Mask,"A mask designed to resemble a blazing golden halo. Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism. Strenthens Golden Order incantations. Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit. ""To you who seek to shine as I do, wear it well!"""
Ragged Hat,Helm pieced together from scavenged metal.
Raya Lucarian Helm,Helm worn by Raya Lucaria Academy soldiers. Its brow adorned with a single cuckoo's feather.
Rotten Duelist Helm,"Bronze helm decorated with innumerable snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. "
Royal Remains Helm,Helm graced with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing.
Royal Knight Helm,"Silver helm of Loretta, a Knight who served Miquella's Haligtree."
Redmane Knight Helm,Helm worn by knights who fought by General Radahn's side.
Sacred Crown Helm,"Flanged iron cap adorned with a crown of unalloyed gold. Increases faith. Worn by foot soldiers sworn to the Haligtree. Who is it that Miquella shall bless, if not the low and the meek?"
